date,ts,team_a,team_b,score_a,score_b,winner,event
2025-02-14,1739520000,MOUZ,BIG,2,0,MOUZ,PGL/2025/Cluj-Napoca
2025-02-14,1739523000,3DMAX,Virtus.pro,2,1,3DMAX,PGL/2025/Cluj-Napoca
2025-02-14,1739528400,FaZe Clan,SAW,2,0,FaZe Clan,PGL/2025/Cluj-Napoca
2025-02-14,1739535000,Team Falcons,FlyQuest,2,0,Team Falcons,PGL/2025/Cluj-Napoca
2025-02-14,1739535300,The MongolZ,Complexity,2,0,The MongolZ,PGL/2025/Cluj-Napoca
2025-02-14,1739542500,PaiN Gaming,Astralis,2,1,PaiN Gaming,PGL/2025/Cluj-Napoca
2025-02-14,1739542800,MIBR,Wildcard,0,2,Wildcard,PGL/2025/Cluj-Napoca
2025-02-14,1739551800,Eternal Fire,Imperial Female,2,0,Eternal Fire,PGL/2025/Cluj-Napoca
2025-02-15,1739606400,MOUZ,3DMAX,2,0,MOUZ,PGL/2025/Cluj-Napoca
2025-02-15,1739606400,BIG,FlyQuest,2,1,BIG,PGL/2025/Cluj-Napoca
2025-02-15,1739614800,The MongolZ,Wildcard,2,0,The MongolZ,PGL/2025/Cluj-Napoca
2025-02-15,1739616300,Complexity,Virtus.pro,0,2,Virtus.pro,PGL/2025/Cluj-Napoca
2025-02-15,1739625000,FaZe Clan,Eternal Fire,2,1,FaZe Clan,PGL/2025/Cluj-Napoca
2025-02-15,1739625300,MIBR,Imperial Female,2,0,MIBR,PGL/2025/Cluj-Napoca
2025-02-15,1739631600,SAW,Astralis,0,2,Astralis,PGL/2025/Cluj-Napoca
2025-02-15,1739636100,Team Falcons,PaiN Gaming,1,2,PaiN Gaming,PGL/2025/Cluj-Napoca
2025-02-16,1739692800,Eternal Fire,BIG,2,0,Eternal Fire,PGL/2025/Cluj-Napoca
2025-02-16,1739692800,3DMAX,MIBR,2,0,3DMAX,PGL/2025/Cluj-Napoca
2025-02-16,1739700600,Wildcard,Virtus.pro,0,2,Virtus.pro,PGL/2025/Cluj-Napoca
2025-02-16,1739700900,Team Falcons,Astralis,2,1,Team Falcons,PGL/2025/Cluj-Napoca
2025-02-16,1739709000,Complexity,Imperial Female,2,0,Complexity,PGL/2025/Cluj-Napoca
2025-02-16,1739712300,MOUZ,FaZe Clan,0,2,FaZe Clan,PGL/2025/Cluj-Napoca
2025-02-16,1739715000,SAW,FlyQuest,2,1,SAW,PGL/2025/Cluj-Napoca
2025-02-16,1739720100,PaiN Gaming,The MongolZ,1,2,The MongolZ,PGL/2025/Cluj-Napoca
2025-02-17,1739790000,MOUZ,Team Falcons,1,2,Team Falcons,PGL/2025/Cluj-Napoca
2025-02-17,1739790000,Wildcard,BIG,1,2,BIG,PGL/2025/Cluj-Napoca
2025-02-17,1739800800,Astralis,MIBR,2,1,Astralis,PGL/2025/Cluj-Napoca
2025-02-17,1739801700,3DMAX,Eternal Fire,1,2,Eternal Fire,PGL/2025/Cluj-Napoca
2025-02-17,1739813700,PaiN Gaming,Virtus.pro,2,0,PaiN Gaming,PGL/2025/Cluj-Napoca
2025-02-17,1739817000,Complexity,SAW,0,2,SAW,PGL/2025/Cluj-Napoca
2025-02-18,1739865600,Astralis,BIG,2,0,Astralis,PGL/2025/Cluj-Napoca
2025-02-18,1739873700,3DMAX,SAW,0,2,SAW,PGL/2025/Cluj-Napoca
2025-02-18,1739883300,MOUZ,Virtus.pro,2,1,MOUZ,PGL/2025/Cluj-Napoca
2025-04-06,1743922800,The MongolZ,3DMAX,1,2,3DMAX,PGL/2025/Bucharest
2025-04-06,1743922800,Virtus.pro,Rare Atom,0,2,Rare Atom,PGL/2025/Bucharest
2025-04-06,1743929700,G2 Esports,GamerLegion,2,0,G2 Esports,PGL/2025/Bucharest
2025-04-06,1743934200,Team Falcons,Complexity,0,2,Complexity,PGL/2025/Bucharest
2025-04-06,1743938700,Aurora Gaming,PaiN Gaming,2,1,Aurora Gaming,PGL/2025/Bucharest
2025-04-06,1743941100,Team Liquid,Legacy,0,2,Legacy,PGL/2025/Bucharest
2025-04-06,1743948000,FaZe Clan,Astralis,1,2,Astralis,PGL/2025/Bucharest
2025-04-06,1743953700,FURIA,Betclic Apogee Esports,2,0,FURIA,PGL/2025/Bucharest
2025-04-07,1744009200,G2 Esports,Rare Atom,2,0,G2 Esports,PGL/2025/Bucharest
2025-04-07,1744009200,Team Falcons,GamerLegion,0,2,GamerLegion,PGL/2025/Bucharest
2025-04-07,1744015800,Aurora Gaming,Legacy,2,0,Aurora Gaming,PGL/2025/Bucharest
2025-04-07,1744015800,Team Liquid,Virtus.pro,0,2,Virtus.pro,PGL/2025/Bucharest
2025-04-07,1744023600,3DMAX,Astralis,2,1,3DMAX,PGL/2025/Bucharest
2025-04-07,1744024200,The MongolZ,Betclic Apogee Esports,0,2,Betclic Apogee Esports,PGL/2025/Bucharest
2025-04-07,1744032300,FaZe Clan,PaiN Gaming,2,0,FaZe Clan,PGL/2025/Bucharest
2025-04-07,1744034700,FURIA,Complexity,1,2,Complexity,PGL/2025/Bucharest
2025-04-08,1744095600,Astralis,Betclic Apogee Esports,0,2,Betclic Apogee Esports,PGL/2025/Bucharest
